Date,Open,High,Low,Close,Adj Close,Volume
2018-10-22,10.690000,10.770000,10.450000,10.550000,10.550000,22232600
2018-10-23,10.400000,10.720000,10.320000,10.700000,10.700000,19845700
2018-10-24,10.700000,10.830000,10.460000,10.540000,10.540000,21441900
2018-10-25,10.620000,11.340000,10.580000,11.290000,11.290000,30129200
2018-10-26,11.350000,12.250000,11.290000,12.050000,12.050000,38682500
2018-10-29,11.420000,11.570000,11.210000,11.390000,11.390000,44470500
2018-10-30,11.390000,11.470000,10.860000,11.260000,11.260000,33742400
2018-10-31,11.310000,11.390000,10.960000,11.030000,11.030000,17740000
2018-11-01,11.100000,11.330000,10.950000,10.990000,10.990000,21970100
2018-11-05,11.230000,11.680000,11.150000,11.500000,11.500000,21099500
2018-11-06,11.470000,11.690000,11.320000,11.550000,11.550000,10502700
2018-11-07,11.700000,11.870000,11.440000,11.460000,11.460000,13798200
2018-11-08,11.610000,11.810000,11.110000,11.150000,11.150000,17687800
2018-11-09,11.200000,11.330000,10.850000,11.290000,11.290000,12859100
2018-11-12,11.470000,11.610000,11.350000,11.420000,11.420000,14000200
2018-11-13,11.420000,11.610000,11.260000,11.340000,11.340000,8623100
2018-11-14,11.450000,11.490000,11.000000,11.420000,11.420000,12065700
2018-11-16,11.500000,11.830000,11.470000,11.770000,11.770000,15274400
2018-11-19,11.800000,11.800000,11.540000,11.650000,11.650000,7354600
2018-11-21,11.400000,11.630000,11.300000,11.620000,11.620000,7521400
